Date,Car sales
01/01/14,1006049.00
02/01/14,1186038.00
03/01/14,1529348.00
04/01/14,1381300.00
05/01/14,1598730.00
06/01/14,1412565.00
07/01/14,1427029.00
08/01/14,1575971.00
09/01/14,1239405.00
10/01/14,1275657.00
11/01/14,1291817.00
12/01/14,1500108.00
01/01/15,1149107.00
02/01/15,1254709.00
03/01/15,1540724.00
04/01/15,1449812.00
05/01/15,1629328.00
06/01/15,1471074.00
07/01/15,1507307.00
08/01/15,1568896.00
09/01/15,1435728.00
10/01/15,1449359.00
11/01/15,1313000.00
12/01/15,1635926.00
01/01/16,1147705.00
02/01/16,1340801.00
03/01/16,1590701.00
04/01/16,1501379.00
05/01/16,1520463.00
06/01/16,1508662.00
07/01/16,1517151.00
08/01/16,1508095.00
09/01/16,1428354.00
10/01/16,1368064.00
11/01/16,1375086.00
12/01/16,1694258.00
01/01/17,1147705.00
02/01/17,1340801.00
03/01/17,1590701.00
04/01/17,1501379.00
05/01/17,1520463.00
06/01/17,1508662.00
07/01/17,1517151.00
08/01/17,1508095.00
09/01/17,1428354.00
10/01/17,1368064.00
11/01/17,1375086.00
12/01/17,1694258.00
01/01/18,1156581.00
02/01/18,1305932.00
03/01/18,1657716.00
04/01/18,1364619.00
05/01/18,1576158.00
06/01/18,1549950.00
07/01/18,1373655.00
08/01/18,1500121.00
09/01/18,1440820.00
10/01/18,1393137.00
11/01/18,1399187.00
12/01/18,1605973.00
01/01/19,1172653.00
02/01/19,1257589.00
03/01/19,1552126.00
04/01/19,1355548.00
05/01/19,1606260.00
06/01/19,1462664.00
07/01/19,1417418.00
08/01/19,1628577.00
09/01/19,1282712.00
10/01/19,1384010.00
11/01/19,1445173.00
12/01/19,1459164.00
01/01/20,1157415.00
02/01/20,1434716.00
03/01/20,944850.00
04/01/20,563122.00
05/01/20,1181756.00
06/01/20,1214706.00
07/01/20,1336267.00
08/01/20,1298489.00
09/01/20,1370243.00
10/01/20,1398735.00
11/01/20,1199580.00
12/01/20,1597958.00
01/01/21,1174053.00
02/01/21,1256529.00
03/01/21,1536038.00
04/01/21,1493938.00
05/01/21,1502642.00
06/01/21,1352285.00
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
